,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
73,0.29282369613647463,0.03433147980960296,0.009569168090820312,0.017067978623358893,0.001,"(100,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 5}",0.42493638676844786,0.46946564885496184,0.4495530012771392,0.4641943734015345,0.44174135723431496,0.4499744767738642,0.01599640477703844,141,0.47477650063856963,0.46551724137931033,0.45422647527910687,0.46683673469387754,0.43991074274784825,0.4602535389477425,0.012100547917259579
74,0.5939065456390381,0.17920594542285806,0.0012193679809570312,0.0003126336418246085,0.001,"(100,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 10}",0.5,0.5127226463104325,0.46998722860791825,0.5383631713554987,0.5032010243277849,0.5048494129657989,0.022017241410641788,81,0.5150063856960408,0.5178799489144317,0.4682615629984051,0.5255102040816326,0.4905961109340134,0.5034508425249048,0.02112758689173332
75,0.563204574584961,0.08248989064360471,0.0010151386260986329,6.301388161389442e-05,0.001,"(100,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 15}",0.4580152671755725,0.5050890585241731,0.5300127713920817,0.510230179028133,0.5083226632522407,0.5022970903522205,0.023838069697960006,90,0.47541507024265645,0.5287356321839081,0.523444976076555,0.5079719387755102,0.5205610455849538,0.5112257325727168,0.019162699579280962
76,0.6599496841430664,0.0813270876245398,0.0009887218475341797,5.155577820120052e-06,0.001,"(100,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 20}",0.5063613231552163,0.5114503816793893,0.5044699872286079,0.5140664961636828,0.5339308578745199,0.514037774374681,0.010504460841219494,51,0.5335249042145593,0.5319284802043422,0.5167464114832536,0.5341198979591837,0.5361810647115078,0.5305001517145693,0.007010420182351264
77,0.7174213886260986,0.16742831984457193,0.001011037826538086,4.772184754637452e-06,0.001,"(100,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 25}",0.5216284987277354,0.4821882951653944,0.5197956577266922,0.5166240409207161,0.5518565941101152,0.5183767228177641,0.022120035378080445,38,0.5383141762452107,0.5086206896551724,0.5323763955342903,0.5121173469387755,0.5412814791201785,0.5265420174987255,0.01355817487675842
78,0.8806257724761963,0.1761287331885873,0.0010801792144775391,5.631456932297849e-05,0.001,"(100,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 30}",0.4631043256997455,0.5356234096692112,0.5261813537675607,0.4462915601023018,0.5160051216389244,0.49744767738642165,0.03584623109547893,99,0.4821200510855683,0.5402298850574713,0.5365231259968102,0.4569515306122449,0.5336308575071724,0.5098910900518534,0.03396207278340285
79,0.7375925540924072,0.10125784043697365,0.001103973388671875,6.517399393529737e-05,0.001,"(100,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 35}",0.5318066157760815,0.5139949109414759,0.5070242656449553,0.5319693094629157,0.528809218950064,0.5227156712608474,0.01027304983784078,24,0.5178799489144317,0.530970625798212,0.5259968102073366,0.5188137755102041,0.5345871852087982,0.5256496691277965,0.00656369216616254
80,1.0544808387756348,0.15395882202473146,0.0012094974517822266,0.00014545424916808855,0.001,"(100,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 40}",0.4821882951653944,0.5318066157760815,0.5146871008939975,0.5153452685421995,0.5569782330345711,0.520163348647269,0.02443961509636993,33,0.5067049808429118,0.539272030651341,0.543859649122807,0.5184948979591837,0.5400063755180108,0.529667586818851,0.014509726221385922
81,1.0957421779632568,0.45686917478750183,0.0012363433837890626,0.00014961616712288084,0.001,"(100,)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 50}",0.5,0.48982188295165396,0.5070242656449553,0.5370843989769821,0.5121638924455826,0.5091883614088821,0.015817698160911234,66,0.5166028097062579,0.5102171136653896,0.5196172248803828,0.5191326530612245,0.5004781638508129,0.5132095930328135,0.007193031727551872
82,1.0230520248413086,0.06974001446008794,0.0012189865112304688,8.052456827889251e-05,0.001,"(100,)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 60}",0.5152671755725191,0.5127226463104325,0.5134099616858238,0.5089514066496164,0.5377720870678617,0.5176110260336907,0.010267141152367848,40,0.5370370370370371,0.5341634738186463,0.5342902711323764,0.5165816326530612,0.5460631176283073,0.5336271064538856,0.00956616595034417
