,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
118,8.743988037109375,1.0713803606422276,0.010501623153686523,0.00028547715395212364,0.0001,"(100,)",60,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 60}",0.801,0.8098,0.8144,0.8084,0.0055593764638371505,11,0.812,0.80795,0.8061,0.8086833333333333,0.002463849742893352
119,10.464719931284586,0.45592740489664574,0.012233972549438477,0.0008239896023822643,0.0001,"(100,)",70,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 70}",0.803,0.8106,0.8167,0.8101,0.005604165117719709,1,0.8132,0.8088,0.80615,0.8093833333333333,0.0029075572030295323
120,0.8074387709299723,0.05490408547708206,0.004126310348510742,0.0010648466838766666,0.0001,"(50,)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.7788,0.7788,0.7788,0.7788000000000002,1.1102230246251565e-16,133,0.7788,0.7788,0.7788,0.7788,0.0
121,1.2127021153767903,0.019224447069568752,0.0053522586822509766,0.001441465807949465,0.0001,"(50,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.7942,0.802,0.8088,0.8016666666666666,0.005965083588871322,124,0.80155,0.80165,0.8016,0.8016,4.0824829046381805e-05
122,1.7445128758748372,0.15674131261236157,0.00439906120300293,0.0006716664241432174,0.0001,"(50,)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.7991,0.8038,0.8092,0.8040333333333334,0.004126607430915727,89,0.80615,0.80225,0.8028,0.8037333333333333,0.001723529969439353
123,2.475426276524862,0.4068972967281433,0.005489190419514974,0.0006710114131492793,0.0001,"(50,)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.7987,0.8021,0.8077,0.8028333333333333,0.003710645346686865,107,0.80325,0.80485,0.8019,0.8033333333333332,0.00120577314984573
124,2.960054556528727,0.3435536792560483,0.006957213083902995,0.00173086696706863,0.0001,"(50,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.8003,0.8009,0.8047,0.8019666666666667,0.0019482185594936541,121,0.80965,0.80115,0.8003,0.8037000000000001,0.004221571587296195
125,4.06469464302063,0.2672915070917383,0.005323092142740886,0.00013302208944486224,0.0001,"(50,)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.7987,0.8044,0.8138,0.8056333333333333,0.006225931434108651,54,0.8092,0.8034,0.80325,0.8052833333333332,0.002770178494048522
126,4.814302285512288,0.14290018490467393,0.005913337071736653,4.49566384116203e-07,0.0001,"(50,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.801,0.801,0.8118,0.8046,0.005091168824543105,80,0.811,0.802,0.80425,0.8057500000000001,0.003824264635194596
127,6.115119059880574,0.5878954508171219,0.03540619214375814,0.04051797724121836,0.0001,"(50,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.8013,0.8048,0.8109,0.8056666666666666,0.003966806720216575,52,0.81175,0.80365,0.8061,0.8071666666666667,0.003391738328481257
