,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14,1.9830219268798828,0.4953229427488878,0.006756639480590821,0.0003283366328805897,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.7937010498250292,0.8031666666666667,0.8031666666666667,0.8128333333333333,0.8114685780963494,0.8048666666666666,0.006892278666037319,50,0.8051585482728447,0.8062083333333333,0.806125,0.8046666666666666,0.805966418065914,0.8056249932677518,0.0006070953903345844
15,3.5548407077789306,1.6350241519259814,0.00652017593383789,0.0007153653474108725,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.7985335777370438,0.8018333333333333,0.8041666666666667,0.813,0.8124687447907984,0.806,0.00578474995022565,16,0.8102837618234093,0.8079583333333333,0.808125,0.8029583333333333,0.8061330777884255,0.8070917012557004,0.002449967242823423
16,3.8142837047576905,0.757982608937526,0.006401157379150391,0.0005143326285207406,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.7998666888851858,0.7993333333333333,0.8051666666666667,0.8148333333333333,0.8128021336889482,0.8064,0.006422643578784542,8,0.8107837826576108,0.8095,0.8081666666666667,0.8045416666666667,0.8077580100829133,0.8081500252147714,0.002094436172418334
17,6.333398389816284,1.783419270923565,0.007953786849975586,0.0016845540426209755,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.7977003832694551,0.7998333333333333,0.8056666666666666,0.8161666666666667,0.8156359393232205,0.807,0.007723094844684157,5,0.811242135088962,0.8105833333333333,0.81075,0.8079583333333333,0.8067997166784717,0.8094667036868202,0.0017569216649914582
18,1.638911485671997,0.3613567096023098,0.007228326797485351,0.0009879663451845685,0.01,"(100,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",0.7965339110148308,0.8005,0.7995,0.8096666666666666,0.8093015502583764,0.8031,0.005374283896407612,64,0.8076586524438518,0.8030833333333334,0.8034583333333334,0.8010833333333334,0.8022999041706596,0.8035167113229024,0.002224807803240052
19,2.6531333446502687,1.1685171176516889,0.017032575607299805,0.01508145982226129,0.01,"(100,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",0.7955340776537244,0.802,0.8008333333333333,0.8111666666666667,0.81080180030005,0.8040666666666667,0.006054869605872138,56,0.8038251593816409,0.804375,0.8045,0.8015416666666667,0.8033831923669847,0.8035250036830585,0.0010692933339557916
20,3.3582816123962402,2.3035370049949817,0.010787534713745116,0.005982902828470891,0.01,"(100,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",0.7978670221629728,0.8011666666666667,0.8046666666666666,0.814,0.8103017169528255,0.8056,0.005882124211914985,29,0.8088253677236551,0.8089583333333333,0.8056666666666666,0.8032083333333333,0.8049247948002166,0.8063166991714409,0.0022491566050213733
21,2.5384734153747557,0.39616157739050595,0.00812220573425293,0.001376634805215315,0.01,"(100,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",0.7958673554407599,0.8018333333333333,0.8063333333333333,0.8133333333333334,0.8094682447074513,0.8053666666666667,0.006065620471474323,34,0.8111171298804117,0.8082083333333333,0.80725,0.8030833333333334,0.8055081038290072,0.8070333800752172,0.002684540508627746
22,2.027074909210205,0.828242124765767,0.007396888732910156,0.0017726569947913537,0.01,"(100,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",0.7940343276120646,0.802,0.8051666666666667,0.8148333333333333,0.8121353558926487,0.8056333333333333,0.007414681338337956,28,0.8023667652818868,0.8087083333333334,0.8064166666666667,0.8052083333333333,0.8045914753551935,0.8054583147940827,0.00209058071104893
23,2.1094767093658446,0.4837762867182897,0.0071868896484375,0.001766025290004146,0.01,"(100,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",0.7963672721213131,0.802,0.806,0.8111666666666667,0.8139689948324721,0.8059,0.00630783085110142,20,0.8109921246718613,0.8091666666666667,0.8089583333333333,0.802625,0.8065497270947044,0.8076583703533131,0.0028859205243113506
24,1.3267072677612304,0.4185222965366387,0.003381824493408203,0.0005696398676494659,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.7988668555240793,0.8023333333333333,0.8023333333333333,0.8103333333333333,0.8104684114019003,0.8048666666666666,0.004692505674449653,50,0.8068252843868494,0.8059583333333333,0.8064583333333334,0.8015416666666667,0.802924878130078,0.8047416991700522,0.002112316529664979
25,1.5912106037139893,0.6200978266223606,0.003958368301391601,0.0005190817109049654,0.01,"(50,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.7958673554407599,0.8011666666666667,0.8035,0.8128333333333333,0.8131355225870979,0.8053,0.006744632676594998,36,0.806325263552648,0.806375,0.8064166666666667,0.8034583333333334,0.8044664805633098,0.8054083488231916,0.0012232357272291372
26,0.9278888702392578,0.3557916486565415,0.003685665130615234,0.000554210649365386,0.01,"(50,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.7937010498250292,0.8038333333333333,0.7988333333333333,0.8086666666666666,0.8094682447074513,0.8029,0.005973822383245995,65,0.8033251385474395,0.8062916666666666,0.80275,0.7992083333333333,0.8045081454939378,0.8032166568082755,0.002341786608494079
27,0.8489336490631103,0.21527559249202302,0.0033465862274169923,0.00047984435260436345,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.7940343276120646,0.799,0.8003333333333333,0.8038333333333333,0.8088014669111518,0.8012,0.004932618836987905,70,0.8056585691070461,0.8045833333333333,0.803125,0.7962083333333333,0.8038831715345194,0.8026916814616465,0.0033472969873143614
28,1.6003210544586182,0.743415694754834,0.004088926315307617,0.00042444655690916536,0.01,"(50,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.7958673554407599,0.8031666666666667,0.801,0.8158333333333333,0.8136356059343224,0.8059,0.007624337094309785,20,0.8070336264011,0.8076666666666666,0.804625,0.8045833333333333,0.8069247114703554,0.8061666675742911,0.001300763749577876
29,1.922888422012329,0.4942706006255032,0.00413217544555664,0.0002232508901345485,0.01,"(50,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",0.7972004665889019,0.8021666666666667,0.8063333333333333,0.8173333333333334,0.8136356059343224,0.8073333333333333,0.0073498104134294626,2,0.8110337930747115,0.808625,0.808625,0.807,0.8067580517478439,0.8084083689645111,0.0015292978666905652
30,1.5751730918884277,0.15154266211811654,0.005848121643066406,0.0009189632187310734,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.7963672721213131,0.803,0.803,0.8113333333333334,0.8123020503417236,0.8052,0.005928888174695286,40,0.8070336264011,0.8055,0.8065833333333333,0.8024583333333334,0.8044664805633098,0.8052083547262153,0.0016383061226635518
