,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
42,0.3702083110809326,0.05935617070550571,0.001184558868408203,6.251115089459948e-06,0.01,"(100,)",11,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 11}",0.5559796437659033,0.5190839694656488,0.5517241379310345,0.5421994884910486,0.5467349551856594,0.5431342521694742,0.012909072806664703,12,0.5552362707535121,0.5488505747126436,0.5607655502392345,0.5573979591836735,0.5479757730315589,0.5540452255841245,0.0049324400983603986
43,0.2934431552886963,0.03402830691992907,0.0011835098266601562,1.107042957901373e-05,0.01,"(100,)",12,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 12}",0.5407124681933843,0.5292620865139949,0.5466155810983397,0.5485933503836317,0.558258642765685,0.5446656457376212,0.009560575505163253,11,0.5520434227330779,0.5552362707535121,0.5629984051036683,0.5602678571428571,0.5518010838380618,0.5564694079142354,0.0044712244990204476
44,0.13568801879882814,0.0462244958808147,0.0010179996490478516,5.4563882411657205e-05,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",0.4440203562340967,0.45038167938931295,0.41762452107279696,0.4514066496163683,0.44430217669654287,0.44155181214905564,0.012335749153598951,129,0.4505108556832695,0.44604086845466157,0.45454545454545453,0.4486607142857143,0.4478801402613962,0.44952760664609925,0.002890279131122487
45,0.19613518714904785,0.06439699351099851,0.0010042667388916015,1.2292229345364714e-05,0.01,"(50,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 3}",0.4491094147582697,0.44783715012722647,0.44699872286079184,0.45907928388746805,0.47631241997439183,0.4558448187850944,0.011099462753281344,109,0.45817369093231164,0.45274584929757344,0.44593301435406696,0.4604591836734694,0.46860057379662096,0.45718246241080845,0.007593764828221778
46,0.18106451034545898,0.048422884906911365,0.001084613800048828,0.0001374092464235699,0.01,"(50,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 4}",0.4592875318066158,0.4720101781170484,0.46871008939974457,0.4629156010230179,0.46350832266325226,0.46528841245533437,0.004514802992709595,102,0.4620051085568327,0.4562579821200511,0.47145135566188195,0.4728954081632653,0.47370098820529166,0.4672621685414645,0.006920547297851835
47,0.18659310340881347,0.06085114978741401,0.0010113716125488281,7.759416811679074e-06,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",0.4720101781170484,0.5,0.4674329501915709,0.5,0.49167733674775926,0.48621745788667686,0.0138915427075362,90,0.48818646232439333,0.48499361430395915,0.47974481658692186,0.5108418367346939,0.5055785782594836,0.4938690616418904,0.01213052078513526
48,0.24083008766174316,0.062251150845740316,0.0010193347930908202,4.540230987040573e-06,0.01,"(50,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 6}",0.4847328244274809,0.4770992366412214,0.4789272030651341,0.5051150895140665,0.5108834827144686,0.49132210311383356,0.013937093994554527,84,0.5,0.5156449553001277,0.4861244019138756,0.49840561224489793,0.5052598023589416,0.5010869543635685,0.009608299462620788
49,0.3061540603637695,0.06972587655456017,0.0010440826416015625,8.13130260361817e-05,0.01,"(50,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",0.5152671755725191,0.49745547073791346,0.4955300127713921,0.49104859335038364,0.5044814340588989,0.5007656967840735,0.008453516657187483,67,0.5153256704980843,0.5124521072796935,0.517384370015949,0.5204081632653061,0.5109977685686962,0.5153136159255458,0.0033780867529006183
50,0.21021480560302735,0.054232234471936175,0.001007413864135742,1.8722523881245637e-05,0.01,"(50,)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 8}",0.5063613231552163,0.5241730279898219,0.4482758620689655,0.520460358056266,0.5249679897567221,0.5048494129657989,0.029057091259702315,63,0.5328863346104725,0.5290549169859514,0.45390749601275915,0.5251913265306123,0.5285304430985017,0.5139141034476594,0.030102477874733975
51,0.2995305061340332,0.07394241990966118,0.0010169506072998046,3.165875556262901e-05,0.01,"(50,)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 9}",0.5305343511450382,0.5279898218829516,0.5197956577266922,0.5370843989769821,0.5019206145966709,0.5234813680449208,0.012098327752057707,45,0.5341634738186463,0.5459770114942529,0.5451355661881978,0.5459183673469388,0.5291679948995855,0.5400724827495244,0.007049778466664646
52,0.2140143871307373,0.04913583087487634,0.001002025604248047,1.913501827836217e-05,0.01,"(50,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",0.5368956743002544,0.539440203562341,0.5185185185185185,0.5345268542199488,0.5467349551856594,0.5352220520673813,0.009295598350399148,27,0.5399106002554278,0.5418263090676884,0.5598086124401914,0.5379464285714286,0.5377749442142175,0.5434533789097907,0.008309794501910488
53,0.2669722080230713,0.10124495725736886,0.001022005081176758,1.8118933606188447e-05,0.01,"(50,)",11,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 11}",0.5279898218829516,0.49363867684478374,0.5338441890166028,0.4884910485933504,0.5505761843790012,0.5188871873404798,0.02395408706313067,53,0.5175606641123882,0.5293742017879949,0.5550239234449761,0.5060586734693877,0.535543512910424,0.5287121951450342,0.016594884091297953
54,0.3042732238769531,0.08371767078752555,0.0010155677795410157,1.9174309329013355e-05,0.01,"(50,)",12,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 12}",0.5419847328244275,0.5292620865139949,0.5466155810983397,0.5268542199488491,0.5633802816901409,0.5416028586013272,0.013174037201016914,19,0.5609833971902938,0.5609833971902938,0.5559808612440191,0.5487882653061225,0.5575390500478163,0.556854994195709,0.00448088335879245
55,0.17732491493225097,0.07075961906035154,0.0011433601379394532,6.035628371208974e-05,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.42748091603053434,0.43384223918575066,0.4495530012771392,0.45524296675191817,0.4737516005121639,0.44793261868300155,0.01636498555101947,118,0.44061302681992337,0.4342273307790549,0.44880382775119615,0.45790816326530615,0.44979279566464775,0.4462690288560257,0.00814007910731973
