,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
11,0.10317578315734863,0.0037320228350686516,0.0008544445037841797,8.611742443979516e-05,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",0.4529262086513995,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.4484430832057172,0.0023079267071811085,20,0.4492337164750958,0.44699872286079184,0.44688995215311006,0.44674744897959184,0.4469238125597705,0.447358730605672,0.0009410366366441836
12,0.12336421012878418,0.0019068152456729217,0.0008240699768066406,5.052147635883251e-05,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 3}",0.44529262086513993,0.44656488549618323,0.44572158365261816,0.47570332480818417,0.44814340588988477,0.45227156712608474,0.011741393613754578,6,0.44699872286079184,0.446360153256705,0.44657097288676234,0.4604591836734694,0.4472425884603124,0.44952632422760813,0.005475223713276817
13,0.0840369701385498,0.003012623925612849,0.0008122444152832032,7.777496171391563e-05,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 4}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
14,0.0830296516418457,0.0019114574974060064,0.0008103847503662109,0.0001009022805832178,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 5}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
15,0.08885459899902344,0.001302734740737445,0.0007568836212158203,1.616864734842128e-05,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 6}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
16,0.08286046981811523,0.003311691729961487,0.0008609294891357422,7.345258152365933e-05,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 7}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
17,0.09095220565795899,0.004994763720087616,0.0008352756500244141,3.924650805623437e-05,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 8}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
18,0.12693047523498535,0.0029926731448106283,0.0008423328399658203,2.414698849352905e-05,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 9}",0.44656488549618323,0.44656488549618323,0.4610472541507024,0.49872122762148335,0.4468629961587708,0.4599285349668198,0.02015669087195896,1,0.44731800766283525,0.44731800766283525,0.45677830940988834,0.5,0.4472425884603124,0.45973138263917424,0.020466733605040616
19,0.10771780014038086,0.010888028556412403,0.0008621692657470703,7.851893763432304e-05,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 10}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
20,0.1421421527862549,0.08159249930976664,0.0008342742919921875,3.871829637925448e-05,0.1,"(50,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 11}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.44688995215311006,0.44706632653061223,0.4469238125597705,0.4471032213138327,0.00018509392881133123
